movie_key,genre_key,genre_order,is_primary
mov_tmdb_51739,gen_family,3,False
mov_tmdb_27576,gen_action,1,True
mov_tmdb_27576,gen_mystery,2,False
mov_tmdb_27576,gen_thriller,3,False
mov_tmdb_44560,gen_drama,1,True
mov_tmdb_39691,gen_family,1,True
mov_tmdb_39691,gen_adventure,2,False
mov_tmdb_39691,gen_comedy,3,False
mov_tmdb_39691,gen_fantasy,4,False
mov_tmdb_39691,gen_action,5,False
mov_tmdb_38778,gen_comedy,1,True
mov_tmdb_41233,gen_drama,1,True
mov_tmdb_41233,gen_romance,2,False
mov_tmdb_27581,gen_comedy,1,True
mov_tmdb_27581,gen_action,2,False
mov_tmdb_27578,gen_thriller,1,True
mov_tmdb_27578,gen_adventure,2,False
mov_tmdb_27578,gen_action,3,False
mov_tmdb_38167,gen_drama,1,True
mov_tmdb_38167,gen_romance,2,False
mov_tmdb_40264,gen_comedy,1,True
mov_tmdb_40264,gen_fantasy,2,False
mov_tmdb_43593,gen_comedy,1,True
mov_tmdb_43593,gen_horror,2,False
mov_tmdb_22907,gen_action,1,True
mov_tmdb_22907,gen_crime,2,False
mov_tmdb_22907,gen_drama,3,False
mov_tmdb_22907,gen_thriller,4,False
mov_tmdb_38358,gen_horror,1,True
mov_tmdb_38358,gen_thriller,2,False
mov_tmdb_38358,gen_mystery,3,False
mov_tmdb_27579,gen_crime,1,True
mov_tmdb_27579,gen_drama,2,False
mov_tmdb_27579,gen_thriller,3,False
mov_tmdb_35791,gen_action,1,True
mov_tmdb_35791,gen_adventure,2,False
mov_tmdb_35791,gen_horror,3,False
mov_tmdb_35791,gen_science_fiction,4,False
mov_tmdb_23168,gen_crime,1,True
mov_tmdb_23168,gen_drama,2,False
mov_tmdb_23168,gen_thriller,3,False
mov_tmdb_37735,gen_comedy,1,True
mov_tmdb_33909,gen_drama,1,True
mov_tmdb_33909,gen_crime,2,False
mov_tmdb_148284,gen_action,1,True
mov_tmdb_148284,gen_science_fiction,2,False
mov_tmdb_148284,gen_adventure,3,False
mov_tmdb_37799,gen_drama,1,True
mov_tmdb_48415,gen_comedy,1,True
mov_tmdb_38408,gen_comedy,1,True
mov_tmdb_38408,gen_romance,2,False
mov_tmdb_38408,gen_drama,3,False
mov_tmdb_39514,gen_action,1,True
mov_tmdb_39514,gen_adventure,2,False
mov_tmdb_39514,gen_comedy,3,False
mov_tmdb_39514,gen_crime,4,False
mov_tmdb_39514,gen_thriller,5,False
mov_tmdb_16290,gen_comedy,1,True
mov_tmdb_16290,gen_documentary,2,False
mov_tmdb_16290,gen_action,3,False
mov_tmdb_41436,gen_horror,1,True
mov_tmdb_41436,gen_mystery,2,False
mov_tmdb_44603,gen_drama,1,True
mov_tmdb_44603,gen_fantasy,2,False
mov_tmdb_41439,gen_horror,1,True
mov_tmdb_41439,gen_crime,2,False
mov_tmdb_38055,gen_animation,1,True
mov_tmdb_38055,gen_action,2,False
mov_tmdb_38055,gen_comedy,3,False
mov_tmdb_38055,gen_family,4,False
mov_tmdb_38055,gen_science_fiction,5,False
mov_tmdb_41733,gen_comedy,1,True
mov_tmdb_41733,gen_drama,2,False
mov_tmdb_44048,gen_action,1,True
mov_tmdb_44048,gen_thriller,2,False
mov_tmdb_42684,gen_science_fiction,1,True
mov_tmdb_42684,gen_action,2,False
mov_tmdb_42684,gen_thriller,3,False
mov_tmdb_12444,gen_adventure,1,True
mov_tmdb_12444,gen_fantasy,2,False
mov_tmdb_43539,gen_romance,1,True
mov_tmdb_43539,gen_drama,2,False
mov_tmdb_43539,gen_thriller,3,False
mov_tmdb_43539,gen_crime,4,False
mov_tmdb_43347,gen_drama,1,True
mov_tmdb_43347,gen_comedy,2,False
mov_tmdb_43347,gen_romance,3,False
mov_tmdb_42297,gen_drama,1,True
mov_tmdb_42297,gen_romance,2,False
mov_tmdb_38757,gen_animation,1,True
mov_tmdb_38757,gen_family,2,False
mov_tmdb_38757,gen_adventure,3,False
mov_tmdb_45269,gen_drama,1,True
mov_tmdb_45269,gen_history,2,False
mov_tmdb_10140,gen_adventure,1,True
mov_tmdb_10140,gen_family,2,False
mov_tmdb_10140,gen_fantasy,3,False
mov_tmdb_44214,gen_drama,1,True
mov_tmdb_44214,gen_thriller,2,False
mov_tmdb_44214,gen_horror,3,False
mov_tmdb_37710,gen_action,1,True
mov_tmdb_37710,gen_thriller,2,False
mov_tmdb_37710,gen_romance,3,False
mov_tmdb_45317,gen_drama,1,True
mov_tmdb_20526,gen_adventure,1,True
mov_tmdb_20526,gen_action,2,False
mov_tmdb_20526,gen_science_fiction,3,False
mov_tmdb_41515,gen_comedy,1,True
mov_tmdb_41515,gen_family,2,False
mov_tmdb_41515,gen_animation,3,False
mov_tmdb_41515,gen_adventure,4,False
mov_tmdb_52077,gen_comedy,1,True
mov_tmdb_39451,gen_comedy,1,True
mov_tmdb_39451,gen_romance,2,False
mov_tmdb_44264,gen_drama,1,True
mov_tmdb_44264,gen_adventure,2,False
mov_tmdb_44264,gen_western,3,False
mov_tmdb_38745,gen_family,1,True
mov_tmdb_38745,gen_comedy,2,False
mov_tmdb_38745,gen_adventure,3,False
mov_tmdb_38745,gen_fantasy,4,False
mov_tmdb_23047,gen_adventure,1,True
mov_tmdb_23047,gen_fantasy,2,False
mov_tmdb_23047,gen_action,3,False
mov_tmdb_40805,gen_action,1,True
mov_tmdb_40805,gen_crime,2,False
mov_tmdb_40805,gen_comedy,3,False
mov_tmdb_45772,gen_animation,1,True
mov_tmdb_45772,gen_family,2,False
mov_tmdb_44564,gen_comedy,1,True
mov_tmdb_44564,gen_drama,2,False
mov_tmdb_41630,gen_comedy,1,True
mov_tmdb_41630,gen_romance,2,False
mov_tmdb_48171,gen_drama,1,True
mov_tmdb_48171,gen_thriller,2,False
mov_tmdb_48171,gen_horror,3,False
mov_tmdb_48340,gen_action,1,True
mov_tmdb_48340,gen_thriller,2,False
mov_tmdb_50546,gen_comedy,1,True
mov_tmdb_50546,gen_romance,2,False
mov_tmdb_54518,gen_music,1,True
mov_tmdb_54518,gen_documentary,2,False
mov_tmdb_54518,gen_family,3,False
mov_tmdb_39513,gen_adventure,1,True
mov_tmdb_39513,gen_comedy,2,False
mov_tmdb_39513,gen_science_fiction,3,False
mov_tmdb_38322,gen_crime,1,True
mov_tmdb_38322,gen_comedy,2,False
mov_tmdb_38322,gen_action,3,False
mov_tmdb_48138,gen_action,1,True
mov_tmdb_48138,gen_mystery,2,False
mov_tmdb_48138,gen_thriller,3,False
mov_tmdb_46529,gen_action,1,True
mov_tmdb_46529,gen_thriller,2,False
mov_tmdb_46529,gen_science_fiction,3,False
mov_tmdb_46529,gen_adventure,4,False
mov_tmdb_48988,gen_comedy,1,True
mov_tmdb_48988,gen_romance,2,False
mov_tmdb_44896,gen_animation,1,True
mov_tmdb_44896,gen_comedy,2,False
mov_tmdb_44896,gen_family,3,False
mov_tmdb_44896,gen_western,4,False
mov_tmdb_44896,gen_adventure,5,False
mov_tmdb_38050,gen_science_fiction,1,True
mov_tmdb_38050,gen_thriller,2,False
mov_tmdb_38050,gen_romance,3,False
mov_tmdb_44943,gen_science_fiction,1,True
mov_tmdb_44943,gen_action,2,False
mov_tmdb_49730,gen_thriller,1,True
mov_tmdb_49730,gen_drama,2,False
mov_tmdb_49730,gen_fantasy,3,False
mov_tmdb_49730,gen_mystery,4,False
mov_tmdb_49730,gen_horror,5,False
mov_tmdb_49730,gen_romance,6,False
mov_tmdb_51876,gen_thriller,1,True
mov_tmdb_51876,gen_mystery,2,False
mov_tmdb_51876,gen_science_fiction,3,False
mov_tmdb_50348,gen_crime,1,True
mov_tmdb_50348,gen_drama,2,False
mov_tmdb_50348,gen_thriller,3,False
mov_tmdb_23629,gen_action,1,True
mov_tmdb_23629,gen_fantasy,2,False
mov_tmdb_23629,gen_thriller,3,False
mov_tmdb_60307,gen_family,1,True
mov_tmdb_60307,gen_comedy,2,False
mov_tmdb_50359,gen_animation,1,True
mov_tmdb_50359,gen_comedy,2,False
mov_tmdb_50359,gen_family,3,False
