date_key,date,year,quarter,month,month_name,day
20110204,2011-02-04,2011,1,2,February,4
20110210,2011-02-10,2011,1,2,February,10
20110211,2011-02-11,2011,1,2,February,11
20110214,2011-02-14,2011,1,2,February,14
20110216,2011-02-16,2011,1,2,February,16
20110218,2011-02-18,2011,1,2,February,18
20110224,2011-02-24,2011,1,2,February,24
20110225,2011-02-25,2011,1,2,February,25
20110302,2011-03-02,2011,1,3,March,2
20110303,2011-03-03,2011,1,3,March,3
20110308,2011-03-08,2011,1,3,March,8
20110309,2011-03-09,2011,1,3,March,9
20110310,2011-03-10,2011,1,3,March,10
20110311,2011-03-11,2011,1,3,March,11
20110317,2011-03-17,2011,1,3,March,17
20110324,2011-03-24,2011,1,3,March,24
20110325,2011-03-25,2011,1,3,March,25
20110330,2011-03-30,2011,1,3,March,30
20110331,2011-03-31,2011,1,3,March,31
20110403,2011-04-03,2011,2,4,April,3
20110406,2011-04-06,2011,2,4,April,6
20110407,2011-04-07,2011,2,4,April,7
20110408,2011-04-08,2011,2,4,April,8
20110413,2011-04-13,2011,2,4,April,13
20110415,2011-04-15,2011,2,4,April,15
20110420,2011-04-20,2011,2,4,April,20
20110421,2011-04-21,2011,2,4,April,21
20110422,2011-04-22,2011,2,4,April,22
20110504,2011-05-04,2011,2,5,May,4
20110505,2011-05-05,2011,2,5,May,5
20110506,2011-05-06,2011,2,5,May,6
20110511,2011-05-11,2011,2,5,May,11
20110513,2011-05-13,2011,2,5,May,13
20110515,2011-05-15,2011,2,5,May,15
20110516,2011-05-16,2011,2,5,May,16
20110517,2011-05-17,2011,2,5,May,17
20110525,2011-05-25,2011,2,5,May,25
20110601,2011-06-01,2011,2,6,June,1
20110609,2011-06-09,2011,2,6,June,9
20110611,2011-06-11,2011,2,6,June,11
20110614,2011-06-14,2011,2,6,June,14
20110617,2011-06-17,2011,2,6,June,17
20110628,2011-06-28,2011,2,6,June,28
20110630,2011-06-30,2011,2,6,June,30
20110701,2011-07-01,2011,3,7,July,1
20110706,2011-07-06,2011,3,7,July,6
20110708,2011-07-08,2011,3,7,July,8
20110712,2011-07-12,2011,3,7,July,12
20110715,2011-07-15,2011,3,7,July,15
20110716,2011-07-16,2011,3,7,July,16
20110721,2011-07-21,2011,3,7,July,21
20110722,2011-07-22,2011,3,7,July,22
20110727,2011-07-27,2011,3,7,July,27
20110728,2011-07-28,2011,3,7,July,28
20110729,2011-07-29,2011,3,7,July,29
20110803,2011-08-03,2011,3,8,August,3
20110805,2011-08-05,2011,3,8,August,5
20110809,2011-08-09,2011,3,8,August,9
20110810,2011-08-10,2011,3,8,August,10
20110811,2011-08-11,2011,3,8,August,11
20110812,2011-08-12,2011,3,8,August,12
20110817,2011-08-17,2011,3,8,August,17
20110818,2011-08-18,2011,3,8,August,18
20110819,2011-08-19,2011,3,8,August,19
20110831,2011-08-31,2011,3,8,August,31
20110902,2011-09-02,2011,3,9,September,2
20110908,2011-09-08,2011,3,9,September,8
20110909,2011-09-09,2011,3,9,September,9
20110915,2011-09-15,2011,3,9,September,15
20110916,2011-09-16,2011,3,9,September,16
20110922,2011-09-22,2011,3,9,September,22
20110923,2011-09-23,2011,3,9,September,23
20110928,2011-09-28,2011,3,9,September,28
20110929,2011-09-29,2011,3,9,September,29
20110930,2011-09-30,2011,3,9,September,30
20111006,2011-10-06,2011,4,10,October,6
20111007,2011-10-07,2011,4,10,October,7
20111012,2011-10-12,2011,4,10,October,12
20111019,2011-10-19,2011,4,10,October,19
20111020,2011-10-20,2011,4,10,October,20
20111024,2011-10-24,2011,4,10,October,24
20111027,2011-10-27,2011,4,10,October,27
20111101,2011-11-01,2011,4,11,November,1
20111102,2011-11-02,2011,4,11,November,2
20111104,2011-11-04,2011,4,11,November,4
20111109,2011-11-09,2011,4,11,November,9
20111110,2011-11-10,2011,4,11,November,10
20111111,2011-11-11,2011,4,11,November,11
20111116,2011-11-16,2011,4,11,November,16
20111117,2011-11-17,2011,4,11,November,17
20111122,2011-11-22,2011,4,11,November,22
20111123,2011-11-23,2011,4,11,November,23
20111126,2011-11-26,2011,4,11,November,26
20111207,2011-12-07,2011,4,12,December,7
20111208,2011-12-08,2011,4,12,December,8
20111209,2011-12-09,2011,4,12,December,9
20111210,2011-12-10,2011,4,12,December,10
20111214,2011-12-14,2011,4,12,December,14
20111215,2011-12-15,2011,4,12,December,15
20111222,2011-12-22,2011,4,12,December,22
20111225,2011-12-25,2011,4,12,December,25
20111226,2011-12-26,2011,4,12,December,26
20120106,2012-01-06,2012,1,1,January,6
20120112,2012-01-12,2012,1,1,January,12
20120113,2012-01-13,2012,1,1,January,13
20120118,2012-01-18,2012,1,1,January,18
20120119,2012-01-19,2012,1,1,January,19
20120125,2012-01-25,2012,1,1,January,25
20120126,2012-01-26,2012,1,1,January,26
20120131,2012-01-31,2012,1,1,January,31
20120201,2012-02-01,2012,1,2,February,1
20120202,2012-02-02,2012,1,2,February,2
20120203,2012-02-03,2012,1,2,February,3
20120205,2012-02-05,2012,1,2,February,5
20120208,2012-02-08,2012,1,2,February,8
20120210,2012-02-10,2012,1,2,February,10
20120214,2012-02-14,2012,1,2,February,14
20120222,2012-02-22,2012,1,2,February,22
20120223,2012-02-23,2012,1,2,February,23
20120224,2012-02-24,2012,1,2,February,24
20120301,2012-03-01,2012,1,3,March,1
20120307,2012-03-07,2012,1,3,March,7
20120309,2012-03-09,2012,1,3,March,9
20120312,2012-03-12,2012,1,3,March,12
20120314,2012-03-14,2012,1,3,March,14
20120315,2012-03-15,2012,1,3,March,15
20120328,2012-03-28,2012,1,3,March,28
20120403,2012-04-03,2012,2,4,April,3
20120404,2012-04-04,2012,2,4,April,4
20120405,2012-04-05,2012,2,4,April,5
20120411,2012-04-11,2012,2,4,April,11
20120412,2012-04-12,2012,2,4,April,12
20120413,2012-04-13,2012,2,4,April,13
20120416,2012-04-16,2012,2,4,April,16
20120419,2012-04-19,2012,2,4,April,19
20120420,2012-04-20,2012,2,4,April,20
20120425,2012-04-25,2012,2,4,April,25
20120427,2012-04-27,2012,2,4,April,27
20120509,2012-05-09,2012,2,5,May,9
20120515,2012-05-15,2012,2,5,May,15
20120516,2012-05-16,2012,2,5,May,16
20120517,2012-05-17,2012,2,5,May,17
20120523,2012-05-23,2012,2,5,May,23
20120524,2012-05-24,2012,2,5,May,24
20120530,2012-05-30,2012,2,5,May,30
20120601,2012-06-01,2012,2,6,June,1
20120606,2012-06-06,2012,2,6,June,6
20120613,2012-06-13,2012,2,6,June,13
20120614,2012-06-14,2012,2,6,June,14
20120620,2012-06-20,2012,2,6,June,20
20120621,2012-06-21,2012,2,6,June,21
20120623,2012-06-23,2012,2,6,June,23
20120627,2012-06-27,2012,2,6,June,27
20120628,2012-06-28,2012,2,6,June,28
20120629,2012-06-29,2012,2,6,June,29
20120705,2012-07-05,2012,3,7,July,5
20120706,2012-07-06,2012,3,7,July,6
20120713,2012-07-13,2012,3,7,July,13
20120717,2012-07-17,2012,3,7,July,17
20120726,2012-07-26,2012,3,7,July,26
20120730,2012-07-30,2012,3,7,July,30
20120802,2012-08-02,2012,3,8,August,2
20120803,2012-08-03,2012,3,8,August,3
