movie_key,tmdb_id,movie_title,release_date,wikipedia_url,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget_usd,box_office_revenue_usd
mov_tmdb_308531,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-05-30,,Action,Adventure,Comedy,Family,Science Fiction,,Dave Green,,Pete Ploszek,Alan Ritchson,Jeremy Howard,Noel Fisher,Megan Fox,135000000,245623848
mov_tmdb_296096,296096,Me Before You,2016-06-01,,Drama,Romance,,,,,Thea Sharrock,,Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance,Brendan Coyle,20000000,207945075
mov_tmdb_267935,267935,The BFG,2016-06-01,,Adventure,Family,Fantasy,,,,Steven Spielberg,,Mark Rylance,Ruby Barnhill,Rebecca Hall,Jemaine Clement,Bill Hader,140000000,195243411
mov_tmdb_372399,372399,A Aa,2016-06-02,,Family,Comedy,Romance,Drama,,,Trivikram Srinivas,,Nithiin,Samantha Ruth Prabhu,Anupama Parameswaran,Naresh,Nadhiya,87933055,189432924
mov_tmdb_291805,291805,Now You See Me 2,2016-06-02,,Crime,Thriller,,,,,Jon M. Chu,,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Dave Franco,Daniel Radcliffe,120000000,334897606
mov_tmdb_300669,300669,Don't Breathe,2016-06-08,,Horror,Thriller,Crime,,,,Fede Álvarez,,Stephen Lang,Jane Levy,Dylan Minnette,Daniel Zovatto,Emma Bercovici,9900000,158906350
mov_tmdb_259693,259693,The Conjuring 2,2016-06-08,,Horror,,,,,,James Wan,,Vera Farmiga,Patrick Wilson,Madison Wolfe,Frances O'Connor,Lauren Esposito,40000000,322819915
mov_tmdb_302699,302699,Central Intelligence,2016-06-15,,Action,Comedy,,,,,Rawson Marshall Thurber,,Dwayne Johnson,Kevin Hart,Amy Ryan,Danielle Nicolet,Jason Bateman,50000000,216972543
mov_tmdb_127380,127380,Finding Dory,2016-06-16,,Adventure,Animation,Family,,,,Andrew Stanton,,Albert Brooks,Ellen DeGeneres,Ed O'Neill,Hayden Rolence,Diane Keaton,200000000,1029266989
mov_tmdb_328111,328111,The Secret Life of Pets,2016-06-18,,Animation,Comedy,Family,Adventure,,,Chris Renaud,,Louis C.K.,Eric Stonestreet,Kevin Hart,Jenny Slate,Ellie Kemper,75000000,875457937
mov_tmdb_47933,47933,Independence Day: Resurgence,2016-06-22,,Action,Adventure,Science Fiction,,,,Roland Emmerich,,Liam Hemsworth,Jeff Goldblum,Jessie T. Usher,Bill Pullman,Maika Monroe,165000000,389681935
mov_tmdb_278154,278154,Ice Age: Collision Course,2016-06-23,,Adventure,Animation,Family,Comedy,Science Fiction,,Michael Thurmeier,,Ray Romano,John Leguizamo,Denis Leary,Adam Devine,Jesse Tyler Ferguson,105000000,408579038
